Reef ID,ReefName,X_COORD,Y_COORD,Area_HA,Zone,MgmtArea,MgmtAreaCode,MgmtAreaShort
19-074b,Cobham Reef (South) (19-074b),148.854,-19.436,7589.22,Habitat Protection,Central Management Area,3,Central
19-082,Elizabeth Reef (19-082),149.043,-19.326,1358.016,Habitat Protection,Central Management Area,3,Central
19-156,Girder Reef (19-156),149.754,-19.664,787.667,Habitat Protection,Central Management Area,3,Central
19-187,Hewitt Reef (19-187),149.624,-19.784,2780.684,Habitat Protection,Central Management Area,3,Central
20-028i,Hook Island Reef (No 10) (20-028i),148.954,-20.085,85.236,Habitat Protection,Central Management Area,3,Central
21-056b,U/N Reef (21-056b),150.455,-21.079,4964.299,Habitat Protection,Southern Management Area,4,Southern
21-063,U/N Reef (21-063),150.925,-21.027,114.096,Habitat Protection,Southern Management Area,4,Southern
21-093,U/N Reef (21-093),151.103,-21.03,257.609,Habitat Protection,Southern Management Area,4,Southern
21-104,U/N Reef (21-104),151.238,-21.096,1872.9,Habitat Protection,Southern Management Area,4,Southern
21-238,U/N Reef (21-238),152.512,-21.236,1050.509,Habitat Protection,Southern Management Area,4,Southern
21-281,U/N Reef (21-281),152.63,-21.118,912.436,Habitat Protection,Southern Management Area,4,Southern
21-459,Heralds Prong No 2 (21-459),151.546,-21.705,6041.533,Habitat Protection,Southern Management Area,4,Southern
21-515,U/N Reef (21-515),152.12,-21.788,892.628,Habitat Protection,Southern Management Area,4,Southern
22-085,U/N Reef (22-085),152.346,-22.017,433.69,Habitat Protection,Southern Management Area,4,Southern
22-087,U/N Reef (22-087),152.278,-22.02,599.606,Habitat Protection,Southern Management Area,4,Southern
11-036,Parsons Reef (11-036),143.198,-11.184,1289.137,Habitat Protection,Far Northern Management Area,1,Far Northern
13-093b,U/N Reef (13-093b),143.962,-13.761,1566.965,Habitat Protection,Far Northern Management Area,1,Far Northern
